DVC Code,Company Name,Business Nature,business Sector,Business Industry,Listed,Legal status,User Key,User Name,Firm Key,Firm Name,Service Category,Service Name,Document Date,Document,Reference Law
2201031032AS216315,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,12/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2111280165AS798215,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,11/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2111090392AS189933,FINE FOODS LIMTED,Fishing,Fishing & Hunting,Fishing,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2110121032AS341812,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,6/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2012230165AS741447,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,12/23/2020,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2211200165AS636216,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,11/16/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210200970AS837494,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,970,Mohammad  Showket Akber FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/20/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2210270407AS717955,FINE FOODS LIMTED,Fishing,Fishing & Hunting,Fishing,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2111140478AS989444,SHEPHERD INDUSTRIES LIMITED ,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Private Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2111021046AS283981,SK TRIMS & INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2111040137AS868497,S.ALAM COLD ROLLED STEELS LIMITED ,Non-Ferrous,Metal Industries,Non-Ferrous,Y,Private Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,11/4/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
2202091097AS669624,ASK PARIS BANGLA LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,1097,Md Anwar Hossain FCA,F-0124,S M Zakaria & Co.,Audit,Statutory Audit,11/9/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994"
