,DVC Code,Company Name,Business Nature,business Sector,Business Industry,Listed,Legal status,User Key,User Name,Firm Key,Firm Name,Service Category,Service Name,Document Date,Document,Reference Law,DVC Date,Day,Month,Year
137,2201031032AS216315,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,12/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-01-03,03,January,2022
143,2111280165AS798215,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,11/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-28,28,November,2021
147,2111090392AS189933,FINE FOODS LIMTED,Fishing,Fishing & Hunting,Fishing,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
148,2110121032AS341812,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,6/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-12,12,October,2021
156,2012230165AS741447,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,12/23/2020,Auditors Report and Financial Statements ,"The Companies Act, 1994",2020-12-23,23,December,2020
250,2211200165AS636216,BEACH HATCHERY LIMITED,Fish,Farming,Fish,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,11/16/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-11-20,20,November,2022
252,2210200970AS837494,INDEX AGRO INDUSTRIES LIMITED,Others,Farming,Others,Y,Public Limited Company,970,Mohammad  Showket Akber FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/20/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-10-20,20,October,2022
255,2210270407AS717955,FINE FOODS LIMTED,Fishing,Fishing & Hunting,Fishing,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,10/27/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-10-27,27,October,2022
3939,2111140478AS989444,SHEPHERD INDUSTRIES LIMITED ,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Private Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-14,14,November,2021
4127,2111021046AS283981,SK TRIMS & INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
4191,2111040137AS868497,S.ALAM COLD ROLLED STEELS LIMITED ,Non-Ferrous,Metal Industries,Non-Ferrous,Y,Private Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,11/4/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
8008,2202091097AS669624,ASK PARIS BANGLA LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,1097,Md Anwar Hossain FCA,F-0124,S M Zakaria & Co.,Audit,Statutory Audit,11/9/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-02-09,09,February,2022
12930,2211010478AS289461,SHEPHERD INDUSTRIES LIMITED ,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Private Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,11/1/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-11-01,01,November,2022
13273,2211100939AS732020,SK TRIMS & INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Private Limited Company,939,Md. Selim Reza  FCA,F-0025,ARTISAN,Audit,Statutory Audit,10/26/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-11-10,10,November,2022
13663,2211010137AS125320,S.ALAM COLD ROLLED STEELS LIMITED ,Non-Ferrous,Metal Industries,Non-Ferrous,Y,Private Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,11/1/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2022-11-01,01,November,2022
16202,2301262014AS327785,SOMIR UDDIN KNITEX LTD.,Garments,Textiles,Garments,Y,Private Limited Company,2014,Md. Shahjahan ACA,F-0200,Ali Zahir Ashraf & Co. - Chartered Accountants,Audit,Statutory Audit,1/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-01-26,26,January,2023
16921,2301120281AS109436,TULIP PROPERTIES LIMITED,Real Estate,Construction,Real Estate,Y,Private Limited Company,281,Hedayet  Ullah FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,12/7/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-01-12,12,January,2023
18917,2302120715AS161673,IL BANGLA LIMITED,Knitting,Textiles,Knitting,Y,Private Limited Company,715,Md Atikur Rahman FCA,F-0031,Atik Khaled Chowdhury,Audit,Statutory Audit,12/29/2022,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-02-12,12,February,2023
18925,2302200165AS173333,K.M. FASHIONS LIMITED,Garments,Textiles,Garments,Y,Private Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,2/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-02-20,20,February,2023
19756,2304151484AS412473,MAATS COTTAGE LTD.,Others,Other Manufacturing,Others,Y,Private Limited Company,1484,Anika Sultana FCA,F-0191,Anika Sultana & Co.,Audit,Statutory Audit,4/9/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-04-15,15,April,2023
20553,2304151484AS955149,MAATS COTTAGE LTD.,Others,Other Manufacturing,Others,Y,Private Limited Company,1484,Anika Sultana FCA,F-0191,Anika Sultana & Co.,Audit,Statutory Audit,4/13/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-04-15,15,April,2023
24051,2308100468AS190039,K.M. FASHIONS LIMITED,Garments,Textiles,Garments,Y,Private Limited Company,468,Tofayel  Ahmed FCA,F-0138,Tofayel Ahmed & Co.,Audit,Statutory Audit,8/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-08-10,10,August,2023
24776,2309100763AS278157,WALTON HI-TECH INDUSTRIES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,763,Neaz  Mohammed FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,9/10/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-09-10,10,September,2023
24777,2308010643AO252424,MARICO BANGLADESH LIMITED,Cosmetics,Chemical,Cosmetics,Y,Public Limited Company,643,Akhtar  Sanjida Kasem FCA,F-0010,A Qasem & Co.,Audit,Other Audit,7/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-08-01,01,August,2023
24788,2307261885AS787654,MOSTAFA METAL INDUSTRIES LTD.,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,1885,Md. Tanjilur Rahman FCA,F-0077,Khan Wahab Shafique Rahman & Co.,Audit,Statutory Audit,7/26/2023,Auditors Report and Financial Statements ,"The Companies Act, 1994",2023-07-26,26,July,2023
